species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
rossiana,16484,Solemya,Mollusca,Bivalvia,Solemyida,Solemyidae,Solemya,-64.0,-57.0,"deposit feeder, chemosymbiotic",deep infaunal,,"lagoonal,coastal,inner shelf,outer shelf,oceanic",Solemya,Cretaceous,No especificado
suboblonga,16485,Nucula (Leionucula) suboblonga,Mollusca,Bivalvia,Nuculida,Nuculidae,Leionucula,-64.0,-57.0,"deposit feeder, suspension feeder",infaunal,,"coastal,inner shelf,outer shelf,oceanic",Leionucula,Cretaceous,No especificado
nordenskjoldi,16486,Nordenskjoeldia,Mollusca,Bivalvia,Arcida,Parallelodontidae,Nordenskjoeldia,-64.0,-57.0,suspension feeder,low-level epifaunal,,,Nordenskjoeldia,Cretaceous,No especificado
oliveroi,16487,,,,,,,-64.0,-57.0,,,,,Austrocucullaea,Cretaceous,No especificado
antarctica,16488,Cucullaea antarctica,Mollusca,Bivalvia,Arcida,Cucullaeidae,Cucullaea,-64.0,-57.0,suspension feeder,infaunal,,,Cucullaea,Cretaceous,No especificado
ellioti,16489,Cucullaea ellioti,Mollusca,Bivalvia,Arcida,Cucullaeidae,Cucullaea,-64.0,-57.0,suspension feeder,infaunal,,,Cucullaea,Cretaceous,No especificado
antarctica,16490,Limopsis,Mollusca,Bivalvia,Arcida,Limopsidae,Limopsis,-64.0,-57.0,suspension feeder,epifaunal,,"outer shelf,oceanic",Limopsis,Cretaceous,No especificado
pontotocensis,16491,Modiolus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,-64.0,-57.0,suspension feeder,semi-infaunal,,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Modiolus,Cretaceous,No especificado
freneixae,16492,Pinna freneixae,Mollusca,Bivalvia,Ostreida,Pinnidae,Pinna,-64.0,-57.0,suspension feeder,semi-infaunal,,"marine,brackish",Pinna,Cretaceous,No especificado
feldmanni,16493,Phelopteria,Mollusca,Bivalvia,Ostreida,Pteriidae,Phelopteria,-64.0,-57.0,suspension feeder,epifaunal,,"coastal,inner shelf,outer shelf,oceanic",Phelopteria,Cretaceous,No especificado
antarctica,16494,Pulvinites,Mollusca,Bivalvia,Ostreida,Pulvinitinae,Pulvinites,-64.0,-57.0,suspension feeder,epifaunal,,"marine,brackish",Pulvinites,Cretaceous,No especificado
sadleri,16495,Entolium,Mollusca,Bivalvia,Pectinida,Entoliidae,Entolium,-64.0,-57.0,suspension feeder,epifaunal,,marine,Entolium,Cretaceous,No especificado
seymourensis,16496,Entolium,Mollusca,Bivalvia,Pectinida,Entoliidae,Entolium,-64.0,-57.0,suspension feeder,epifaunal,,marine,Entolium,Cretaceous,No especificado
shackletoni,16497,Acesta,Mollusca,Bivalvia,Pectinida,Limidae,Acesta,-64.0,-57.0,suspension feeder,epifaunal,,marine,Acesta,Cretaceous,No especificado
webbi,16498,Acesta webbi,Mollusca,Bivalvia,Pectinida,Limidae,Acesta,-64.0,-57.0,suspension feeder,epifaunal,,marine,Acesta,Cretaceous,No especificado
