species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
ceciliana,16417,Leionucula,Mollusca,Bivalvia,Nuculida,Nuculidae,Leionucula,-37.0,-73.0,"deposit feeder, suspension feeder",infaunal,,"coastal,inner shelf,outer shelf,oceanic",Leionucula,Cretaceous,No especificado
amuriensis,16418,Nuculana,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,-37.0,-73.0,"deposit feeder, suspension feeder",infaunal,,"coastal,inner shelf,outer shelf,oceanic",Nuculana,Cretaceous,No especificado
cuneiformis,16419,Nuculana,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,-37.0,-73.0,"deposit feeder, suspension feeder",infaunal,,"coastal,inner shelf,outer shelf,oceanic",Nuculana,Cretaceous,No especificado
levitestata,16420,Yoldia,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldia,-37.0,-73.0,deposit feeder,infaunal,,"inner shelf,outer shelf,oceanic",Yoldia,Cretaceous,No especificado
pencana,16421,Neiloides,Mollusca,Bivalvia,Nuculida,NO_FAMILY_SPECIFIED,Neiloides,-37.0,-73.0,deposit feeder,infaunal,,,Neiloides,Cretaceous,No especificado
quiriquinae,16422,Neilonella,Mollusca,Bivalvia,Nuculanida,Tindariidae,Neilonella,-37.0,-73.0,deposit feeder,infaunal,,,Neilonella,Cretaceous,No especificado
sp.,16423,Modiolus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,-37.0,-73.0,suspension feeder,semi-infaunal,,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Modiolus,Cretaceous,No especificado
biroi,16424,Inoceramus (Endocostea),Mollusca,Bivalvia,Myalinida,Inoceramidae,Inoceramus (Endocostea),-37.0,-73.0,suspension feeder,epifaunal,,,Endocostea,Cretaceous,No especificado
chilensis,16425,Chlamys (Mixtipecten),Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys (Mixtipecten),-37.0,-73.0,suspension feeder,epifaunal,,marine,Mixtipecten,Cretaceous,No especificado
sp.,16426,Placunopsis,Mollusca,Bivalvia,Pectinida,Anomiidae,Placunopsis,-37.0,-73.0,suspension feeder,"epifaunal, gregarious",,marine,Placunopsis,Cretaceous,No especificado
sp.,16427,Pycnodonte,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Pycnodonte,-37.0,-73.0,suspension feeder,epifaunal,,"marine,brackish",Pycnodonte,Cretaceous,No especificado
hanetiana,16428,Pacitrigonia hanetiana,Mollusca,Bivalvia,Trigoniida,Trigoniidae,Pacitrigonia,-37.0,-73.0,suspension feeder,infaunal,,,Pacitrigonia,Cretaceous,No especificado
acuticostatum,16429,Austrocardium,Mollusca,Bivalvia,Cardiida,Cardiidae,Austrocardium,-37.0,-73.0,suspension feeder,infaunal,,,Austrocardium,Cretaceous,No especificado
veneriformis,16430,Lahillia,Mollusca,Bivalvia,Cardiida,Lahillidae,Lahillia,-37.0,-73.0,suspension feeder,infaunal,,,Lahillia,Cretaceous,No especificado
araucana,16431,Cymbophora,Mollusca,Bivalvia,Veneroidei,Mactridae,Cymbophora,-37.0,-73.0,suspension feeder,infaunal,,,Cymbophora,Cretaceous,No especificado
colossa,16432,Mulinoides,Mollusca,Bivalvia,Veneroidei,Mactridae,Mulinoides,-37.0,-73.0,suspension feeder,infaunal,,,Mulinoides,Cretaceous,No especificado
australis,16433,Ceroniola,Mollusca,Bivalvia,Veneroidei,Mesodesmatidae,Ceroniola,-37.0,-73.0,suspension feeder,infaunal,,,Ceroniola,Cretaceous,No especificado
largillierti,16434,Tellina (Tellinella),Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina (Tellinella),-37.0,-73.0,deposit feeder,infaunal,,,Tellinella,Cretaceous,No especificado
cocholguei,16435,Protagelus,Mollusca,Bivalvia,Veneroidei,NO_FAMILY_SPECIFIED,Protagelus,-37.0,-73.0,suspension feeder,infaunal,,,Protagelus,Cretaceous,No especificado
quiriquinae,16436,Aphrodina,Mollusca,Bivalvia,Veneroidei,Veneridae,Aphrodina,-37.0,-73.0,suspension feeder,infaunal,,,Aphrodina,Cretaceous,No especificado
cuneiformis,16437,Panopea,Mollusca,Bivalvia,Hiatellida,Hiatellidae,Panopea,-37.0,-73.0,suspension feeder,deep infaunal,,,Panopea,Cretaceous,No especificado
simplex,16438,Panopea,Mollusca,Bivalvia,Hiatellida,Hiatellidae,Panopea,-37.0,-73.0,suspension feeder,deep infaunal,,,Panopea,Cretaceous,No especificado
leali,16439,Opertochasma,Mollusca,Bivalvia,Pholadida,Pholadidae,Opertochasma,-37.0,-73.0,suspension feeder,boring,,,Opertochasma,Cretaceous,No especificado
chilensis,16440,Caryocorbula,Mollusca,Bivalvia,Pholadida,Corbulidae,Caryocorbula,-37.0,-73.0,suspension feeder,infaunal,,,Caryocorbula,Cretaceous,No especificado
primigenus,16441,Arcomytilus,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcomytilus,-37.0,-73.0,suspension feeder,epifaunal,,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Arcomytilus,Cretaceous,No especificado
palmata,45877,Australocoelia,Brachiopoda,Rhynchonellata,Rhynchonellida,Leptocoeliidae,Australocoelia,-24.583332,-68.583336,suspension feeder,epifaunal,shoreface,marine,Australocoelia,Devonian,Devonian
carinatus,45878,Tropidoleptus carinatus,Brachiopoda,Rhynchonellata,NO_ORDER_SPECIFIED,Tropidoleptidae,Tropidoleptus,-24.583332,-68.583336,suspension feeder,low-level epifaunal,shoreface,marine,Tropidoleptus,Devonian,Devonian
sp.,97053,Anisocardia,Mollusca,Bivalvia,Veneroidei,Arcticidae,Anisocardia,-33.466667,-70.75,suspension feeder,infaunal,marine indet.,,Anisocardia,Jurassic,No especificado
pintadae,97054,Bakevellia (Neobakevellia) pintadae,Mollusca,Bivalvia,Ostreida,Bakevelliidae,Bakevellia (Neobakevellia),-33.466667,-70.75,suspension feeder,semi-infaunal,marine indet.,"marine,brackish",Bakevellia,Jurassic,No especificado
andium,97055,Cardinia andium,Mollusca,Bivalvia,Carditida,Cardiniidae,Cardinia,-33.466667,-70.75,suspension feeder,infaunal,marine indet.,marine,Cardinia,Jurassic,No especificado
corneolum,97056,Entolium (Entolium) corneolum,Mollusca,Bivalvia,Pectinida,Entoliidae,Entolium (Entolium),-33.466667,-70.75,suspension feeder,epifaunal,marine indet.,marine,Entolium,Jurassic,No especificado
sp.,97057,Exogyra,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Exogyra,-33.466667,-70.75,suspension feeder,epifaunal,marine indet.,"marine,brackish",Exogyra,Jurassic,No especificado
araucana,97058,Gervillia,Mollusca,Bivalvia,Ostreida,Bakevelliidae,Gervillia,-33.466667,-70.75,suspension feeder,semi-infaunal,marine indet.,"marine,brackish",Gervillia,Jurassic,No especificado
humboldti,97059,Lithotrochus,Mollusca,Gastropoda,NO_ORDER_SPECIFIED,Trochidae,Lithotrochus,-33.466667,-70.75,grazer,epifaunal,marine indet.,,Lithotrochus,Jurassic,No especificado
ovatissima,97060,Lobothyris ovatissima,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-33.466667,-70.75,suspension feeder,low-level epifaunal,marine indet.,marine,Lobothyris,Jurassic,No especificado
chubutensis,97061,Lucina,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucina,-33.466667,-70.75,chemosymbiotic,infaunal,marine indet.,,Lucina,Jurassic,No especificado
sp.,97062,Mesomiltha,Mollusca,Bivalvia,Lucinida,Lucinidae,Mesomiltha,-33.466667,-70.75,"chemosymbiotic, suspension feeder",infaunal,marine indet.,,Mesomiltha,Jurassic,No especificado
imbricatus,97063,Modiolus (Modiolus) imbricatus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus (Modiolus),-33.466667,-70.75,suspension feeder,semi-infaunal,marine indet.,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Modiolus,Jurassic,No especificado
sp.,97064,Modiolus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,-33.466667,-70.75,suspension feeder,semi-infaunal,marine indet.,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Modiolus,Jurassic,No especificado
sp.,97065,Parallelodon,Mollusca,Bivalvia,Arcida,Parallelodontidae,Parallelodon,-33.466667,-70.75,suspension feeder,low-level epifaunal,marine indet.,,Parallelodon,Jurassic,No especificado
hemicardia,97066,Pholadomya,Mollusca,Bivalvia,Pholadomyida,Pholadomyidae,Pholadomya,-33.466667,-70.75,suspension feeder,deep infaunal,marine indet.,,Pholadomya,Jurassic,No especificado
